,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado
73,1,8,negras,2r1kbnr/pp1b1ppp/1qn1p3/3pP3/3p4/2PB1N2/PP1N1PPP/R1BQ1RK1 w k - 4 9,Rc8,"PovScore(Cp(0), WHITE)",c3d4,0
74,1,9,blancas,2r1kbnr/pp1b1ppp/1qn1p3/3pP3/3p4/1NPB1N2/PP3PPP/R1BQ1RK1 b k - 5 9,Nb3,"PovScore(Cp(+77), BLACK)",d4c3,0
75,1,9,negras,2r1kbnr/pp1b1ppp/1qn1p3/3pP3/8/1NpB1N2/PP3PPP/R1BQ1RK1 w k - 0 10,dxc3,"PovScore(Cp(-36), WHITE)",b2c3,0
76,1,10,blancas,2r1kbnr/pp1b1ppp/1qn1p3/3pP3/8/1NPB1N2/P4PPP/R1BQ1RK1 b k - 0 10,bxc3,"PovScore(Cp(+66), BLACK)",b6c7,0
77,1,10,negras,2r1kbnr/ppqb1ppp/2n1p3/3pP3/8/1NPB1N2/P4PPP/R1BQ1RK1 w k - 1 11,Qc7,"PovScore(Cp(-2), WHITE)",d1e2,0
78,1,11,blancas,2r1kbnr/ppqb1ppp/2n1p3/3pP3/8/1NPB1N2/P4PPP/R1BQR1K1 b k - 2 11,Re1,"PovScore(Cp(+55), BLACK)",g8e7,0
79,1,11,negras,2r1kb1r/ppqbnppp/2n1p3/3pP3/8/1NPB1N2/P4PPP/R1BQR1K1 w k - 3 12,Nge7,"PovScore(Cp(-70), WHITE)",c1a3,0
80,1,12,blancas,2r1kb1r/ppqbnppp/2n1p3/3pP3/7P/1NPB1N2/P4PP1/R1BQR1K1 b k - 0 12,h4,"PovScore(Cp(+81), BLACK)",e7g6,0
81,1,12,negras,2r1kb1r/ppqb1ppp/2n1p1n1/3pP3/7P/1NPB1N2/P4PP1/R1BQR1K1 w k - 1 13,Ng6,"PovScore(Cp(+38), WHITE)",h4h5,0
82,1,13,blancas,2r1kb1r/ppqb1ppp/2n1p1n1/3pP3/7P/1NPB1N2/P3QPP1/R1B1R1K1 b k - 2 13,Qe2,"PovScore(Cp(+5), BLACK)",a7a6,0
83,1,13,negras,2r1k2r/ppqbbppp/2n1p1n1/3pP3/7P/1NPB1N2/P3QPP1/R1B1R1K1 w k - 3 14,Be7,"PovScore(Cp(+113), WHITE)",h4h5,0
84,1,14,blancas,2r1k2r/ppqbbppp/2n1p1n1/3pP2P/8/1NPB1N2/P3QPP1/R1B1R1K1 b k - 0 14,h5,"PovScore(Cp(-62), BLACK)",g6h4,0
85,1,14,negras,2r1k2r/ppqbbppp/2n1p3/3pn2P/8/1NPB1N2/P3QPP1/R1B1R1K1 w k - 0 15,Ngxe5,"PovScore(Cp(+121), WHITE)",f3e5,0
86,1,15,blancas,2r1k2r/ppqbbppp/2n1p3/3pN2P/8/1NPB4/P3QPP1/R1B1R1K1 b k - 0 15,Nxe5,"PovScore(Cp(-12), BLACK)",c6e5,0
87,1,15,negras,2r1k2r/pp1bbppp/2n1p3/3pq2P/8/1NPB4/P3QPP1/R1B1R1K1 w k - 0 16,Qxe5,"PovScore(Cp(+98), WHITE)",e2e5,0
88,1,16,blancas,2r1k2r/pp1bbppp/2n1p3/3pQ2P/8/1NPB4/P4PP1/R1B1R1K1 b k - 0 16,Qxe5,"PovScore(Cp(-123), BLACK)",c6e5,0
89,1,16,negras,2r1k2r/pp1bbppp/4p3/3pn2P/8/1NPB4/P4PP1/R1B1R1K1 w k - 0 17,Nxe5,"PovScore(Cp(+147), WHITE)",e1e5,0
90,1,17,blancas,2r1k2r/pp1bbppp/4p3/3pR2P/8/1NPB4/P4PP1/R1B3K1 b k - 0 17,Rxe5,"PovScore(Cp(-33), BLACK)",c8c3,0
91,1,17,negras,2r1k2r/pp1b1ppp/4pb2/3pR2P/8/1NPB4/P4PP1/R1B3K1 w k - 1 18,Bf6,"PovScore(Cp(+132), WHITE)",e5e3,0
92,1,18,blancas,2r1k2r/pp1b1ppp/4pb2/3p3P/8/1NPBR3/P4PP1/R1B3K1 b k - 2 18,Re3,"PovScore(Cp(-161), BLACK)",f6c3,0
93,1,18,negras,4k2r/pp1b1ppp/4pb2/3p3P/8/1NrBR3/P4PP1/R1B3K1 w k - 0 19,Rxc3,"PovScore(Cp(+165), WHITE)",c1b2,0
94,1,19,blancas,4k2r/pp1b1ppp/4pb2/3p3P/8/1NrBR3/P4PP1/1RB3K1 b k - 1 19,Rb1,"PovScore(Cp(-188), BLACK)",d7a4,0
95,1,19,negras,4k2r/pp1b1ppp/4pb2/7P/3p4/1NrBR3/P4PP1/1RB3K1 w k - 0 20,d4,"PovScore(Cp(+210), WHITE)",e3f3,0
96,1,20,blancas,4k2r/pp1b1ppp/4pb2/7P/3p4/1NrB2R1/P4PP1/1RB3K1 b k - 1 20,Rg3,"PovScore(Cp(-225), BLACK)",h7h6,0
97,1,20,negras,5rk1/pp1b1ppp/4pb2/7P/3p4/1NrB2R1/P4PP1/1RB3K1 w - - 2 21,O-O,"PovScore(Cp(+260), WHITE)",c1a3,0
98,1,21,blancas,5rk1/pp1b1ppp/4pb2/7P/3p4/1NrB2R1/PB3PP1/1R4K1 b - - 3 21,Bb2,"PovScore(Cp(-241), BLACK)",d7a4,0
99,1,21,negras,2r3k1/pp1b1ppp/4pb2/7P/3p4/1NrB2R1/PB3PP1/1R4K1 w - - 4 22,Rfc8,"PovScore(Cp(+280), WHITE)",h5h6,0
100,1,22,blancas,2r3k1/pp1b1ppp/4pb2/7P/3p4/1NBB2R1/P4PP1/1R4K1 b - - 0 22,Bxc3,"PovScore(Cp(-217), BLACK)",d4c3,0
101,1,22,negras,2r3k1/pp1b1ppp/4pb2/7P/8/1NpB2R1/P4PP1/1R4K1 w - - 0 23,dxc3,"PovScore(Cp(+297), WHITE)",d3c2,0
102,1,23,blancas,2r3k1/pp1b1ppp/4pb2/7P/8/1NpB2R1/P4PP1/3R2K1 b - - 1 23,Rd1,"PovScore(Cp(-261), BLACK)",c3c2,0
103,1,23,negras,2r3k1/pp3ppp/2b1pb2/7P/8/1NpB2R1/P4PP1/3R2K1 w - - 2 24,Bc6,"PovScore(Cp(+204), WHITE)",d3c2,0
104,1,24,blancas,2r3k1/pp3ppp/2b1pb2/7P/8/1Np3R1/P1B2PP1/3R2K1 b - - 3 24,Bc2,"PovScore(Cp(-250), BLACK)",c6a4,0
105,1,24,negras,2r2k2/pp3ppp/2b1pb2/7P/8/1Np3R1/P1B2PP1/3R2K1 w - - 4 25,Kf8,"PovScore(Cp(+338), WHITE)",g3d3,0
106,1,25,blancas,2r2k2/pp3ppp/2b1pb2/7P/8/1Np1R3/P1B2PP1/3R2K1 b - - 5 25,Re3,"PovScore(Cp(-236), BLACK)",c6a4,0
107,1,25,negras,2r2k2/p4ppp/1pb1pb2/7P/8/1Np1R3/P1B2PP1/3R2K1 w - - 0 26,b6,"PovScore(Cp(+236), WHITE)",g1f1,0
108,1,26,blancas,2r2k2/p4ppp/1pb1pb2/7P/3N4/2p1R3/P1B2PP1/3R2K1 b - - 1 26,Nd4,"PovScore(Cp(-240), BLACK)",c6b7,0
109,1,26,negras,2r2k2/p4ppp/1p2pb2/3b3P/3N4/2p1R3/P1B2PP1/3R2K1 w - - 2 27,Bd5,"PovScore(Cp(+237), WHITE)",d4b5,0
110,1,27,blancas,2r2k2/p4ppp/1p2pb2/3b3P/P2N4/2p1R3/2B2PP1/3R2K1 b - - 0 27,a4,"PovScore(Cp(-211), BLACK)",c8c4,0
111,1,27,negras,2r2k2/p4p1p/1p2pbp1/3b3P/P2N4/2p1R3/2B2PP1/3R2K1 w - - 0 28,g6,"PovScore(Cp(+319), WHITE)",d4b5,0
112,1,28,blancas,2r2k2/p4p1p/1p2pbP1/3b4/P2N4/2p1R3/2B2PP1/3R2K1 b - - 0 28,hxg6,"PovScore(Cp(-214), BLACK)",h7g6,0
113,1,28,negras,2r2k2/p4p2/1p2pbp1/3b4/P2N4/2p1R3/2B2PP1/3R2K1 w - - 0 29,hxg6,"PovScore(Cp(+240), WHITE)",d4b5,0
114,1,29,blancas,2r2k2/p4p2/1p2pbp1/1N1b4/P7/2p1R3/2B2PP1/3R2K1 b - - 1 29,Nb5,"PovScore(Cp(-209), BLACK)",a7a6,0
115,1,29,negras,5k2/p4p2/1p2pbp1/1N1b4/P1r5/2p1R3/2B2PP1/3R2K1 w - - 2 30,Rc4,"PovScore(Cp(+307), WHITE)",b5a7,0
116,1,30,blancas,5k2/N4p2/1p2pbp1/3b4/P1r5/2p1R3/2B2PP1/3R2K1 b - - 0 30,Nxa7,"PovScore(Cp(-235), BLACK)",f6d4,0
117,1,30,negras,5k2/N4p2/1p2pbp1/3b4/Pr6/2p1R3/2B2PP1/3R2K1 w - - 1 31,Rb4,"PovScore(Cp(+365), WHITE)",a7b5,0
118,1,31,blancas,5k2/5p2/1p2pbp1/1N1b4/Pr6/2p1R3/2B2PP1/3R2K1 b - - 2 31,Nb5,"PovScore(Cp(-236), BLACK)",d5b3,0
119,1,31,negras,5k2/5p2/1p2pbp1/1N1b4/P7/2p1R3/1rB2PP1/3R2K1 w - - 3 32,Rb2,"PovScore(Cp(+269), WHITE)",b5a3,0
120,1,32,blancas,5k2/5p2/1p2pbp1/1N1b4/P7/2p1R3/1rB2PP1/2R3K1 b - - 4 32,Rc1,"PovScore(Cp(-248), BLACK)",f6g5,0
121,1,32,negras,5k2/5p2/1p2p1p1/1N1b2b1/P7/2p1R3/1rB2PP1/2R3K1 w - - 5 33,Bg5,"PovScore(Cp(+215), WHITE)",b5c3,0
122,1,33,blancas,5k2/5p2/1p2p1p1/3b2b1/P7/2N1R3/1rB2PP1/2R3K1 b - - 0 33,Nxc3,"PovScore(Cp(-191), BLACK)",g5e3,0
123,1,33,negras,5k2/5p2/1p2p1p1/3b4/P7/2N1b3/1rB2PP1/2R3K1 w - - 0 34,Bxe3,"PovScore(Cp(+277), WHITE)",f2e3,0
