,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado,parte_partida
5586,60,13,negras,rnb1k2r/3p1ppp/p7/1p2p3/1P1qP3/3B4/P1PB1RPP/R2Q2K1 w kq - 0 14,Qxd4,142.0,a2a4,2,Medio_juego
5587,60,14,blancas,rnb1k2r/3p1ppp/p7/1p2p3/PP1qP3/3B4/2PB1RPP/R2Q2K1 b kq - 0 14,a4,-66.0,b5a4,2,Medio_juego
5588,60,14,negras,rnb1k2r/3p1ppp/p7/4p3/pP1qP3/3B4/2PB1RPP/R2Q2K1 w kq - 0 15,bxa4,155.0,a1a4,2,Medio_juego
5589,60,15,blancas,rnb1k2r/3p1ppp/p7/4p3/RP1qP3/3B4/2PB1RPP/3Q2K1 b kq - 0 15,Rxa4,-141.0,d7d6,2,Medio_juego
5590,60,15,negras,rnb1k2r/3p1ppp/pq6/4p3/RP2P3/3B4/2PB1RPP/3Q2K1 w kq - 1 16,Qb6,329.0,d3c4,2,Medio_juego
5591,60,16,blancas,rnb1k2r/3p1ppp/pq6/4p2Q/RP2P3/3B4/2PB1RPP/6K1 b kq - 2 16,Qh5,-302.0,e8g8,2,Medio_juego
5592,60,16,negras,rnb2rk1/3p1ppp/pq6/4p2Q/RP2P3/3B4/2PB1RPP/6K1 w - - 3 17,O-O,302.0,h5e5,2,Medio_juego
5593,60,17,blancas,rnb2rk1/3p1ppp/pq6/1P2p2Q/R3P3/3B4/2PB1RPP/6K1 b - - 0 17,b5,-32.0,d7d6,2,Medio_juego
5594,60,17,negras,rnb2rk1/5ppp/pq1p4/1P2p2Q/R3P3/3B4/2PB1RPP/6K1 w - - 0 18,d6,58.0,d3c4,2,Medio_juego
5595,60,18,blancas,rnb2rk1/5ppp/pq1p4/BP2p2Q/R3P3/3B4/2P2RPP/6K1 b - - 1 18,Ba5,-41.0,b6a7,2,Medio_juego
5596,60,18,negras,rnb2rk1/1q3ppp/p2p4/BP2p2Q/R3P3/3B4/2P2RPP/6K1 w - - 2 19,Qb7,-91.0,b5b6,2,Medio_juego
5597,60,19,blancas,rnb2rk1/1q3ppp/p2p4/BP2p2Q/2R1P3/3B4/2P2RPP/6K1 b - - 3 19,Rc4,-13.0,a6b5,2,Medio_juego
5598,60,19,negras,rnb2rk1/1q3p1p/p2p2p1/BP2p2Q/2R1P3/3B4/2P2RPP/6K1 w - - 0 20,g6,129.0,h5h6,2,Medio_juego
5599,60,20,blancas,rnb2rk1/1q3p1p/p2p2p1/BP2p1Q1/2R1P3/3B4/2P2RPP/6K1 b - - 1 20,Qg5,159.0,a6b5,2,Medio_juego
5600,60,20,negras,rnb2rk1/1q3p1p/3p2p1/Bp2p1Q1/2R1P3/3B4/2P2RPP/6K1 w - - 0 21,axb5,-210.0,c4c7,2,Medio_juego
5601,60,21,blancas,rnb2rk1/1qR2p1p/3p2p1/Bp2p1Q1/4P3/3B4/2P2RPP/6K1 b - - 1 21,Rc7,139.0,b7a6,2,Medio_juego
5602,60,21,negras,rnb2rk1/2R2p1p/q2p2p1/Bp2p1Q1/4P3/3B4/2P2RPP/6K1 w - - 2 22,Qa6,-121.0,a5b4,2,Medio_juego
5603,60,22,blancas,rnb2rk1/2R2p1p/q2p2p1/1p2p1Q1/4P3/3B4/2PB1RPP/6K1 b - - 3 22,Bd2,136.0,c8e6,2,Medio_juego
5604,60,22,negras,rnb2rk1/2R2p1p/3p2p1/1p2p1Q1/4P3/3B4/q1PB1RPP/6K1 w - - 4 23,Qa2,-6.0,d3b5,2,Medio_juego
5605,60,23,blancas,rnb2rk1/4Rp1p/3p2p1/1p2p1Q1/4P3/3B4/q1PB1RPP/6K1 b - - 5 23,Re7,139.0,b8c6,2,Medio_juego
5606,60,23,negras,r1b2rk1/3nRp1p/3p2p1/1p2p1Q1/4P3/3B4/q1PB1RPP/6K1 w - - 6 24,Nd7,120.0,h2h3,2,Medio_juego
5607,60,24,blancas,r1b2rk1/3nRp1p/3p2p1/1B2p1Q1/4P3/8/q1PB1RPP/6K1 b - - 0 24,Bxb5,235.0,f7f6,2,Medio_juego
5608,60,24,negras,r1b2rk1/3nR2p/3p1pp1/1B2p1Q1/4P3/8/q1PB1RPP/6K1 w - - 0 25,f6,78.0,g5h6,2,Medio_juego
5609,60,25,blancas,r1b2rk1/3nR2p/3p1pp1/1B2p3/4P2Q/8/q1PB1RPP/6K1 b - - 1 25,Qh4,-158.0,f8f7,2,Medio_juego
5610,60,25,negras,r1b3k1/3nRr1p/3p1pp1/1B2p3/4P2Q/8/q1PB1RPP/6K1 w - - 2 26,Rf7,53.0,e7e8,2,Medio_juego
5611,60,26,blancas,r1b1R1k1/3n1r1p/3p1pp1/1B2p3/4P2Q/8/q1PB1RPP/6K1 b - - 3 26,Re8+,-103.0,d7f8,2,Medio_juego
5612,60,26,negras,r1b1Rnk1/5r1p/3p1pp1/1B2p3/4P2Q/8/q1PB1RPP/6K1 w - - 4 27,Nf8,98.0,f2f6,2,Medio_juego
5613,60,27,blancas,r1b1Rnk1/5r1p/3p1ppB/1B2p3/4P2Q/8/q1P2RPP/6K1 b - - 5 27,Bh6,-71.0,c8e6,2,Medio_juego
5614,60,27,negras,r3Rnk1/5r1p/3pbppB/1B2p3/4P2Q/8/q1P2RPP/6K1 w - - 6 28,Be6,91.0,c2c3,2,Medio_juego
5615,60,28,blancas,R4nk1/5r1p/3pbppB/1B2p3/4P2Q/8/q1P2RPP/6K1 b - - 0 28,Rxa8,-25.0,a2a8,2,Medio_juego
5616,60,28,negras,q4nk1/5r1p/3pbppB/1B2p3/4P2Q/8/2P2RPP/6K1 w - - 0 29,Qxa8,32.0,f2f6,2,Medio_juego
5617,60,29,blancas,q4nk1/5r1p/3pbRpB/1B2p3/4P2Q/8/2P3PP/6K1 b - - 0 29,Rxf6,-7.0,a8a1,2,Medio_juego
5618,60,29,negras,5nk1/q4r1p/3pbRpB/1B2p3/4P2Q/8/2P3PP/6K1 w - - 1 30,Qa7+,15.0,h4f2,2,Medio_juego
5619,60,30,blancas,5nk1/q4r1p/3pbRpB/1B2p3/4P2Q/8/2P3PP/5K2 b - - 2 30,Kf1,39.0,a7a5,2,Medio_juego
5620,60,30,negras,5nk1/q6p/3pbrpB/1B2p3/4P2Q/8/2P3PP/5K2 w - - 0 31,Rxf6+,15.0,h4f6,2,Medio_juego
5621,60,31,blancas,5nk1/q6p/3pbQpB/1B2p3/4P3/8/2P3PP/5K2 b - - 0 31,Qxf6,-10.0,a7f7,2,Medio_juego
5622,60,31,negras,5nk1/5q1p/3pbQpB/1B2p3/4P3/8/2P3PP/5K2 w - - 1 32,Qf7,13.0,h6g5,2,Medio_juego
5623,60,32,blancas,5nk1/5Q1p/3pb1pB/1B2p3/4P3/8/2P3PP/5K2 b - - 0 32,Qxf7+,-11.0,g8f7,2,Medio_juego
5624,60,32,negras,5n2/5k1p/3pb1pB/1B2p3/4P3/8/2P3PP/5K2 w - - 0 33,Kxf7,10.0,h6e3,2,Final
5625,60,33,blancas,5n2/5k1p/2Bpb1pB/4p3/4P3/8/2P3PP/5K2 b - - 1 33,Bc6,-8.0,e6c4,2,Final
5626,60,33,negras,8/3n1k1p/2Bpb1pB/4p3/4P3/8/2P3PP/5K2 w - - 2 34,Nd7,0,f1g1,2,Final
5627,60,34,blancas,8/3B1k1p/3pb1pB/4p3/4P3/8/2P3PP/5K2 b - - 0 34,Bxd7,1.0,e6d7,2,Final
5628,60,34,negras,8/3b1k1p/3p2pB/4p3/4P3/8/2P3PP/5K2 w - - 0 35,Bxd7,-6.0,h6e3,2,Final
5629,61,1,blancas,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,c4,-42.0,b8c6,2,Apertura
5630,61,1,negras,rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,c5,18.0,b1c3,2,Apertura
5631,61,2,blancas,rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,Nf3,-45.0,g8f6,2,Apertura
5632,61,2,negras,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 2 3,Nc6,20.0,b1c3,2,Apertura
5633,61,3,blancas,r1bqkbnr/pp1ppppp/2n5/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,d4,-42.0,c5d4,2,Apertura
